ID;FromStopNumber;ToStopNumber;ASD_or_SER_or_TFF;Reservation_in_equipment;Equipment;Tariff_in_equipment
1;1;9;;;92;
2;1;9;;;92;
3;1;9;;;92;
4;1;9;;;92;
5;1;9;;;92;
6;1;9;;;92;
7;1;9;;;92;
8;1;9;;;92;
9;1;9;;;92;
10;1;16;;;63;
11;1;16;;;63;
12;1;16;;;63;
13;1;16;;;63;
14;1;17;;;63;
15;1;16;;;63;
16;1;11;;;63;
17;1;16;;;63;
18;1;16;;;63;
19;1;17;;;63;
20;1;16;;;63;
21;1;11;;;63;
22;1;16;;;63;
23;1;17;;;63;
24;1;11;;;63;
25;1;11;;;63;
26;1;16;;;63;
27;1;16;;;63;
28;1;11;;;63;
29;1;16;;;63;
30;1;16;;;63;
31;1;16;;;63;
32;1;11;;;63;
33;1;16;;;63;
34;1;16;;;63;
35;1;16;;;63;
36;1;16;;;63;
37;1;17;;;63;
38;1;16;;;63;
39;1;16;;;63;
40;1;16;;;63;
41;1;16;;;63;
42;1;16;;;63;
43;1;22;;;63;
44;1;17;;;63;
45;1;16;;;63;
46;1;22;;;63;
47;1;22;;;63;
48;1;17;;;;
49;1;17;;;;
50;1;17;;;;
51;1;17;;;;
52;1;17;;;63;
53;1;17;;;;
54;1;17;;;;
55;1;17;;;;
56;1;17;;;;
57;1;17;;;;
58;1;17;;;;
59;1;17;;;;
60;1;17;;;;
61;1;17;;;;
62;1;17;;;;
63;1;17;;;;
64;1;17;;;;
65;1;17;;;;
66;1;17;;;;
67;1;17;;;;
68;1;17;;;;
69;1;17;;;;
70;1;17;;;;
71;1;17;;;;
72;1;12;;;;
73;1;11;;;;
74;1;11;;;;
75;1;17;;;;
76;1;17;;;;
77;1;11;;;;
78;1;11;;;;
79;1;11;;;;
80;1;18;;;;
81;1;18;;;;
82;1;11;;;;
83;1;17;;;;
84;1;17;;;;
85;1;11;;;;
86;1;11;;;;
87;1;11;;;;
88;1;18;;;;
89;1;18;;;;
90;1;11;;;;
91;1;17;;;;
92;1;17;;;;
93;1;11;;;;
94;1;11;;;;
95;1;11;;;;
96;1;18;;;;
97;1;18;;;;
98;1;11;;;;
99;1;17;;;;
100;1;17;;;;
101;1;11;;;;
102;1;11;;;;
103;1;11;;;;
104;1;17;;;;
105;1;17;;;;
106;1;11;;;;
107;1;17;;;;
108;1;11;;;;
109;1;17;;;;
110;1;11;;;;
111;1;11;;;;
112;1;11;;;;
113;1;11;;;;
114;1;11;;;;
115;1;2;;;92;
116;1;14;;;92;
117;1;11;;;92;
118;1;15;;;92;
119;1;15;;;92;
120;1;15;;;92;
121;1;2;;;162;
122;1;3;;;162;
123;1;3;;;162;
124;1;6;;;162;
125;1;7;;;162;
126;1;2;;;162;
127;1;3;;;162;
128;1;3;;;162;
129;1;3;;;162;
130;1;3;;;162;
131;1;11;;;162;
132;1;15;;;92;
133;1;15;;;92;
134;1;28;;;92;
135;1;14;;;92;
136;1;10;;;92;
137;1;28;;;92;
138;1;14;;;92;
139;1;3;;;162;
140;1;3;;;162;
141;1;3;;;162;
142;1;3;;;162;
143;1;3;;;162;
144;1;2;;;162;
145;1;3;;;162;
146;1;2;;;162;
147;1;3;;;162;
148;1;2;;;162;
149;1;2;;;162;
150;1;7;;;162;
151;1;6;;;162;
152;1;11;;;162;
153;1;28;;;92;
154;1;14;;;92;
155;1;14;;;92;
156;1;31;;;92;
157;1;14;;;92;
158;1;14;;;92;
159;1;8;;;92;
160;1;14;;;92;
161;1;14;;;92;
162;1;14;;;92;
163;1;14;;;92;
164;1;3;;;162;
165;1;3;;;162;
166;1;3;;;162;
167;1;3;;;162;
168;1;11;;;162;
169;1;6;;;162;
170;1;7;;;162;
171;1;3;;;162;
172;1;3;;;162;
173;1;3;;;162;
174;1;2;;;162;
175;1;4;;;162;
176;1;10;;;162;
177;1;4;;;162;
178;1;3;;;162;
179;1;3;;;162;
180;1;3;;;162;
181;1;3;;;162;
182;1;3;;;162;
183;1;3;;;162;
184;1;2;;;162;
185;1;2;;;162;
186;1;4;;;162;
187;1;11;;;162;
188;1;31;;;92;
189;1;27;;;92;
190;1;27;;;92;
191;1;14;;;92;
192;1;14;;;92;
193;1;14;;;92;
194;1;14;;;92;
195;1;27;;;92;
196;1;23;;;92;
197;1;27;;;92;
198;1;14;;;92;
199;1;3;;;162;
200;1;3;;;162;
201;1;3;;;162;
202;1;2;;;162;
203;1;3;;;162;
204;1;3;;;162;
205;1;3;;;162;
206;1;10;;;162;
207;1;4;;;162;
208;1;3;;;162;
209;1;3;;;162;
210;1;3;;;162;
211;1;3;;;162;
212;1;3;;;162;
213;1;3;;;162;
214;1;3;;;162;
215;1;2;;;162;
216;1;2;;;162;
217;1;11;;;162;
218;1;7;;;162;
219;1;6;;;162;
220;1;3;;;162;
221;1;27;;;92;
222;1;27;;;92;
223;1;27;;;92;
224;1;27;;;92;
225;1;27;;;92;
226;1;14;;;92;
227;1;14;;;92;
228;1;14;;;92;
229;1;23;;;92;
230;1;27;;;92;
231;1;27;;;92;
232;1;14;;;92;
233;1;6;;;162;
234;1;3;;;162;
235;1;3;;;162;
236;1;3;;;162;
237;1;2;;;162;
238;1;2;;;162;
239;1;11;;;162;
240;1;10;;;162;
241;1;4;;;162;
242;1;3;;;162;
243;1;3;;;162;
244;1;3;;;162;
245;1;3;;;162;
246;1;3;;;162;
247;1;7;;;162;
248;1;3;;;162;
249;1;3;;;162;
250;1;3;;;162;
251;1;3;;;162;
252;1;3;;;162;
253;1;2;;;162;
254;1;3;;;162;
255;1;27;;;92;
256;1;28;;;92;
257;1;28;;;92;
258;1;28;;;92;
259;1;15;;;92;
260;1;15;;;92;
261;1;14;;;92;
262;1;14;;;92;
263;1;14;;;92;
264;1;15;;;92;
265;1;24;;;92;
266;1;28;;;92;
267;1;14;;;92;
268;1;3;;;162;
269;1;3;;;162;
270;1;3;;;162;
271;1;3;;;162;
272;1;3;;;162;
273;1;2;;;162;
274;1;2;;;162;
275;1;11;;;162;
276;1;7;;;162;
277;1;6;;;162;
278;1;3;;;162;
279;1;3;;;162;
280;1;10;;;162;
281;1;4;;;162;
282;1;3;;;162;
283;1;3;;;162;
284;1;3;;;162;
285;1;3;;;162;
286;1;3;;;162;
287;1;3;;;162;
288;1;3;;;162;
289;1;2;;;162;
290;1;28;;;92;
291;1;28;;;92;
292;1;25;;;92;
293;1;25;;;92;
294;1;12;;;92;
295;1;14;;;92;
296;1;14;;;92;
297;1;21;;;92;
298;1;25;;;92;
299;1;25;;;92;
300;1;25;;;92;
301;1;10;;;162;
302;1;4;;;162;
303;1;3;;;162;
304;1;3;;;162;
305;1;3;;;162;
306;1;3;;;162;
307;1;3;;;162;
308;1;3;;;162;
309;1;3;;;162;
310;1;3;;;162;
311;1;2;;;162;
312;1;2;;;162;
313;1;11;;;162;
314;1;6;;;162;
315;1;7;;;162;
316;1;3;;;162;
317;1;3;;;162;
318;1;3;;;162;
319;1;3;;;162;
320;1;2;;;162;
321;1;3;;;162;
322;1;3;;;162;
323;1;25;;;92;
324;1;25;;;92;
325;1;25;;;92;
326;1;12;;;92;
327;1;14;;;92;
328;1;21;;;92;
329;1;25;;;92;
330;1;25;;;92;
331;1;25;;;92;
332;1;3;;;162;
333;1;10;;;162;
334;1;4;;;162;
335;1;3;;;162;
336;1;3;;;162;
337;1;3;;;162;
338;1;3;;;162;
339;1;3;;;162;
340;1;3;;;162;
341;1;3;;;162;
342;1;2;;;162;
343;1;2;;;162;
344;1;6;;;162;
345;1;7;;;162;
346;1;11;;;162;
347;1;3;;;162;
348;1;3;;;162;
349;1;3;;;162;
350;1;3;;;162;
351;1;3;;;162;
352;1;3;;;162;
353;1;2;;;162;
354;1;25;;;92;
355;1;28;;;92;
356;1;28;;;92;
357;1;14;;;92;
358;1;15;;;92;
359;1;28;;;92;
360;1;28;;;92;
361;1;2;;;162;
362;1;3;;;162;
363;1;3;;;162;
364;1;3;;;162;
365;1;3;;;162;
366;1;3;;;162;
367;1;3;;;162;
368;1;3;;;162;
369;1;3;;;162;
370;1;3;;;162;
371;1;11;;;162;
372;1;6;;;162;
373;1;7;;;162;
374;1;4;;;162;
375;1;10;;;162;
376;1;3;;;162;
377;1;3;;;162;
378;1;3;;;162;
379;1;2;;;162;
380;1;28;;;92;
381;1;28;;;92;
382;1;15;;;92;
383;1;14;;;92;
384;1;24;;;92;
385;1;28;;;92;
386;1;28;;;92;
387;1;10;;;162;
388;1;2;;;162;
389;1;2;;;162;
390;1;6;;;162;
391;1;3;;;162;
392;1;5;;;162;
393;1;4;;;162;
394;1;3;;;162;
395;1;3;;;162;
396;1;3;;;162;
397;1;3;;;162;
398;1;3;;;162;
399;1;3;;;162;
400;1;3;;;162;
401;1;2;;;162;
402;1;3;;;162;
403;1;2;;;162;
404;1;2;;;162;
405;1;5;;;162;
406;1;7;;;162;
407;1;11;;;162;
408;1;3;;;162;
409;1;3;;;162;
410;1;3;;;162;
411;1;3;;;162;
412;1;2;;;162;
413;1;3;;;162;
414;1;3;;;162;
415;1;2;;;162;
416;1;3;;;162;
417;1;2;;;162;
418;1;2;;;162;
419;1;28;;;92;
420;1;28;;;92;
421;1;28;;;92;
422;1;15;;;92;
423;1;11;;;92;
424;1;14;;;92;
425;1;14;;;92;
426;1;24;;;92;
427;1;28;;;92;
428;1;28;;;92;
429;1;28;;;92;
430;1;28;;;92;
431;1;11;;;162;
432;1;5;;;162;
433;1;3;;;162;
434;1;2;;;162;
435;1;2;;;162;
436;1;2;;;162;
437;1;2;;;162;
438;1;2;;;162;
439;1;7;;;162;
440;1;6;;;162;
