por_id;train_id;stop_number;uic;arrival_time;arrival_time_offset;departure_time;departure_time_offset;arrival_platform;departure_platform;property;traffic_restriction_code;distance_and_unit;loading_vehicles;unloading_vehicles;check_out;check_in
1;1;1;007602361;;;09:00;;4;4;;;;;;;
2;1;2;007612360;09:03;;09:03;;1;1;;;;;;;
3;1;3;007602360;09:06;;09:06;;1;1;;;;;;;
4;1;4;007602359;09:18;;09:18;;1;1;;;;;;;
5;1;5;007642358;09:22;;09:22;;1;1;;;;;;;
6;1;6;007622358;09:30;;09:31;;1;1;;;;;;;
7;1;7;007612358;09:36;;09:36;;1;1;;;;;;;
8;1;8;007602358;09:39;;09:40;;1;1;;;;;;;
9;1;9;007602324;09:44;;;;11;11;;;;;;;
10;2;1;007602324;;;10:15;;11;11;;;;;;;
11;2;2;007602358;10:18;;10:18;;1;1;;;;;;;
12;2;3;007612358;10:21;;10:21;;1;1;;;;;;;
13;2;4;007622358;10:26;;10:27;;1;1;;;;;;;
14;2;5;007642358;10:36;;10:36;;1;1;;;;;;;
15;2;6;007602359;10:41;;10:41;;1;1;;;;;;;
16;2;7;007602360;10:55;;10:55;;1;1;;;;;;;
17;2;8;007612360;10:59;;10:59;;1;1;;;;;;;
18;2;9;007602361;11:05;;;;4;4;;;;;;;
19;3;1;007602361;;;11:45;;4;4;;;;;;;
20;3;2;007612360;11:48;;11:48;;1;1;;;;;;;
21;3;3;007602360;11:51;;11:51;;1;1;;;;;;;
22;3;4;007602359;12:03;;12:03;;1;1;;;;;;;
23;3;5;007642358;12:07;;12:07;;1;1;;;;;;;
24;3;6;007622358;12:14;;12:15;;1;1;;;;;;;
25;3;7;007612358;12:20;;12:20;;1;1;;;;;;;
26;3;8;007602358;12:23;;12:24;;1;1;;;;;;;
27;3;9;007602324;12:28;;;;11;11;;;;;;;
28;4;1;007602324;;;13:15;;11;11;;;;;;;
29;4;2;007602358;13:18;;13:18;;1;1;;;;;;;
30;4;3;007612358;13:20;;13:20;;1;1;;;;;;;
31;4;4;007622358;13:25;;13:26;;1;1;;;;;;;
32;4;5;007642358;13:35;;13:35;;1;1;;;;;;;
33;4;6;007602359;13:41;;13:41;;1;1;;;;;;;
34;4;7;007602360;13:55;;13:55;;1;1;;;;;;;
35;4;8;007612360;13:59;;13:59;;1;1;;;;;;;
36;4;9;007602361;14:05;;;;4;4;;;;;;;
37;5;1;007602361;;;14:30;;4;4;;;;;;;
38;5;2;007612360;14:33;;14:33;;1;1;;;;;;;
39;5;3;007602360;14:36;;14:36;;1;1;;;;;;;
40;5;4;007602359;14:48;;14:48;;1;1;;;;;;;
41;5;5;007642358;14:52;;14:52;;1;1;;;;;;;
42;5;6;007622358;15:00;;15:01;;1;1;;;;;;;
43;5;7;007612358;15:06;;15:06;;1;1;;;;;;;
44;5;8;007602358;15:09;;15:10;;1;1;;;;;;;
45;5;9;007602324;15:14;;;;11;11;;;;;;;
46;6;1;007602324;;;15:39;;11;11;;;;;;;
47;6;2;007602358;15:42;;15:42;;1;1;;;;;;;
48;6;3;007612358;15:44;;15:44;;1;1;;;;;;;
49;6;4;007622358;15:49;;15:50;;1;1;;;;;;;
50;6;5;007642358;15:59;;15:59;;1;1;;;;;;;
51;6;6;007602359;16:04;;16:04;;1;1;;;;;;;
52;6;7;007602360;16:18;;16:18;;1;1;;;;;;;
53;6;8;007612360;16:21;;16:21;;1;1;;;;;;;
54;6;9;007602361;16:25;;;;4;4;;;;;;;
55;7;1;007602361;;;16:50;;4;4;;;;;;;
56;7;2;007612360;16:53;;16:53;;1;1;;;;;;;
57;7;3;007602360;16:56;;16:56;;1;1;;;;;;;
58;7;4;007602359;17:07;;17:07;;1;1;;;;;;;
59;7;5;007642358;17:11;;17:11;;1;1;;;;;;;
60;7;6;007622358;17:18;;17:19;;1;1;;;;;;;
61;7;7;007612358;17:23;;17:23;;1;1;;;;;;;
62;7;8;007602358;17:25;;17:26;;1;1;;;;;;;
63;7;9;007602324;17:35;;;;11;11;;;;;;;
64;8;1;007602324;;;18:05;;11;11;;;;;;;
65;8;2;007602358;18:08;;18:08;;1;1;;;;;;;
66;8;3;007612358;18:10;;18:10;;1;1;;;;;;;
67;8;4;007622358;18:15;;18:16;;1;1;;;;;;;
68;8;5;007642358;18:25;;18:25;;1;1;;;;;;;
69;8;6;007602359;18:31;;18:31;;1;1;;;;;;;
70;8;7;007602360;18:45;;18:45;;1;1;;;;;;;
71;8;8;007612360;18:49;;18:49;;1;1;;;;;;;
72;8;9;007602361;18:55;;;;4;4;;;;;;;
73;9;1;007602324;;;19:28;;11;11;;;;;;;
74;9;2;007602358;19:31;;19:31;;1;1;;;;;;;
75;9;3;007612358;19:33;;19:33;;1;1;;;;;;;
76;9;4;007622358;19:38;;19:39;;1;1;;;;;;;
77;9;5;007642358;19:48;;19:48;;1;1;;;;;;;
78;9;6;007602359;19:54;;19:54;;1;1;;;;;;;
79;9;7;007602360;20:08;;20:08;;1;1;;;;;;;
80;9;8;007612360;20:12;;20:12;;1;1;;;;;;;
81;9;9;007602361;20:18;;;;4;4;;;;;;;
