stop_id;function_code;uic_code;location_name;location_short_name;latitude;longitude;valid_from;valid_to;default_transfer_time;country;timezone_1;timezone_2;reservation_code
1;M;007602103;Drangedal stasjon;;59.096262;9.064246;;;;00;;;
3;M;007610206;Sagdalen stasjon;;59.956264;11.015682;;;;00;;;
4;M;007601366;Skonseng stasjon;;66.362072;14.344668;;;;00;;;
6;M;007600620;Eina stasjon;;60.630444;10.597660;;;;00;;;
8;M;007401728;Högboda station;;59.557328;13.052377;;;;00;;;
10;M;007601514;Sandefjord stasjon;;59.135195;10.222754;;;;00;;;
12;M;007601421;Drammen stasjon;;59.740104;10.205235;;;;00;;;
14;M;007601305;Skogn stasjon;;63.705135;11.194030;;;;00;;;
16;M;007602332;Seimsgrend stasjon;;60.632441;6.236224;;;;00;;;
17;M;007601014;Haltdalen stasjon;;62.928331;11.144176;;;;00;;;
19;M;007600909;Elverum stasjon;;60.882856;11.546232;;;;00;;;
20;M;007601017;Singsås stasjon;;62.956290;10.729145;;;;00;;;
22;M;007601821;Porsgrunn stasjon;;59.139364;9.658688;;;;00;;;
24;M;007602203;Sira stasjon;;58.417815;6.660472;;;;00;;;
26;M;007600315;Skarnes stasjon;;60.253834;11.680465;;;;00;;;
28;M;007601414;Heggedal stasjon;;59.786786;10.431154;;;;00;;;
30;M;007600508;Ski stasjon;;59.718532;10.833893;;;;00;;;
32;M;007400410;Edane station;;59.626708;12.829880;;;;00;;;
34;M;007601512;Stokke stasjon;;59.221357;10.300377;;;;00;;;
36;M;007600538;Heia stasjon;;59.473108;11.329735;;;;00;;;
38;M;007400781;Enafors station;;63.289859;12.337038;;;;00;;;
40;M;007601815;Skien stasjon;;59.219210;9.603542;;;;00;;;
42;M;007601507;Skoppum stasjon;;59.391182;10.411126;;;;00;;;
44;M;007601208;Hell stasjon;;63.446005;10.896624;;;;00;;;
46;M;007600918;Evenstad stasjon;;61.423307;11.099389;;;;00;;;
48;M;007601125;Skansen stasjon;;63.431113;10.377746;;;;00;;;
49;M;007601301;Skatval stasjon;;63.508621;10.825774;;;;00;;;
51;M;007602214;Hellvik stasjon;;58.485818;5.897164;;;;00;;;
53;M;007600622;Raufoss stasjon;;60.722108;10.613335;;;;00;;;
55;M;007602333;Evanger stasjon;;60.647102;6.109525;;;;00;;;
56;M;007601402;Skøyen stasjon;;59.922353;10.678831;;;;00;;;
58;M;007601123;Selsbakk stasjon;;63.389399;10.373344;;;;00;;;
60;M;007601404;Lysaker stasjon;;59.913446;10.637247;;;;00;;;
62;M;007601617;Hønefoss stasjon;;60.169289;10.249456;;;;00;;;
64;M;007600216;Eidsvoll stasjon;;60.329675;11.247784;;;;00;;;
66;M;007601376;Lønsdal stasjon;;66.742694;15.463101;;;;00;;;
68;M;007600204;Lørenskog stasjon;;59.944815;10.945210;;;;00;;;
70;M;007600222;Eidsvoll verk stasjon;;60.287842;11.169503;;;;00;;;
72;M;007610202;Haugenstua stasjon;;59.951563;10.908195;;;;00;;;
74;M;007600907;Løten stasjon;;60.818707;11.342051;;;;00;;;
76;M;007600734;Ringebu stasjon;;61.529255;10.139346;;;;00;;;
77;M;007601344;Majavatn stasjon;;65.164329;13.367963;;;;00;;;
79;M;007601102;Hjerkinn stasjon;;62.220049;9.541277;;;;00;;;
81;M;007601385;Fauske stasjon;;67.264062;15.398943;;;;00;;;
83;M;007602178;Marnardal stasjon;;58.212922;7.512572;;;;00;;;
