uic_code;mct_minutes
007600015;5
007600021;5
007600022;5
007600030;5
007600035;5
007600036;5
007600049;5
007600100;8
007600180;6
007600186;5
007600200;5
007600202;2
007600203;2
007600204;2
007600205;2
007600206;2
007600207;8
007600208;2
007600209;2
007600210;2
007600211;2
007600212;2
007600213;2
007600214;2
007600215;5
007600216;2
007600220;10
007600222;2
007600226;5
007600246;5
007600301;2
007600303;2
007600305;2
007600307;2
007600308;2
007600309;1
007600310;2
007600311;1
007600312;5
007600313;2
007600314;2
007600315;2
007600316;2
007600317;2
007600318;1
007600322;2
007600339;5
007600405;5
007600408;5
007600409;5
007600411;5
007600501;2
007600502;2
007600503;8
007600504;11
007600505;2
007600506;2
007600507;2
007600508;3
007600510;2
007600511;2
007600513;2
007600516;2
007600518;2
007600519;2
007600522;2
007600527;2
007600528;2
007600529;2
007600530;2
007600531;2
007600532;2
007600533;2
007600534;2
007600536;2
007600537;2
007600538;2
007600539;2
007600542;2
007600546;1
007600552;5
007600600;2
007600601;2
007600603;2
007600604;2
007600605;2
007600606;2
007600607;1
007600608;1
007600609;1
007600610;1
007600611;2
007600612;2
007600613;1
007600614;2
007600615;2
007600616;1
007600617;2
007600620;2
007600621;2
007600622;2
007600625;2
007600626;2
007600627;2
007600706;2
007600708;2
007600711;5
007600716;2
007600720;2
007600725;2
007600728;5
007600729;2
007600730;5
007600731;5
007600734;2
007600735;5
007600736;2
007600739;2
007600740;2
007600743;2
007600746;2
007600747;2
007600801;2
007600803;2
007600805;2
007600810;2
007600904;2
007600907;2
007600909;2
007600912;2
007600914;2
007600915;2
007600916;2
007600918;2
007600919;2
007600920;2
007600922;2
007600923;2
007600925;2
007600926;2
007600927;2
007600928;2
007600999;2
007601002;2
007601004;2
007601006;2
007601008;2
007601011;2
007601012;2
007601014;2
007601015;2
007601017;2
007601019;2
007601020;2
007601100;5
007601102;2
007601103;2
007601104;5
007601107;2
007601108;5
007601109;5
007601110;2
007601112;5
007601113;2
007601114;2
007601115;2
007601116;2
007601117;2
007601118;2
007601119;2
007601120;2
007601122;2
007601123;2
007601124;5
007601125;2
007601126;8
007601127;2
007601200;1
007601201;2
007601203;2
007601204;2
007601207;2
007601208;2
007601210;2
007601213;2
007601214;2
007601215;2
007601218;2
007601299;2
007601300;2
